step,action,balance,position
590,2,2065.7421875,0
591,1,2065.7421875,1
592,1,2065.7421875,1
593,1,2065.7421875,1
594,1,2065.7421875,1
595,0,2065.7421875,1
596,1,2065.7421875,1
597,0,2065.7421875,1
598,1,2065.7421875,1
599,2,2287.5625,0
600,1,2287.5625,1
601,0,2287.5625,1
602,2,1956.625,0
603,2,1956.625,0
604,1,1956.625,1
605,1,1956.625,1
606,1,1956.625,1
607,1,1956.625,1
608,1,1956.625,1
609,1,1956.625,1
610,1,1956.625,1
611,1,1956.625,1
612,2,494.5625,0
613,1,494.5625,1
614,2,1161.7109375,0
615,2,1161.7109375,0
616,2,1161.7109375,0
617,0,1161.7109375,0
618,1,1161.7109375,1
619,1,1161.7109375,1
620,2,1238.765625,0
621,1,1238.765625,1
622,1,1238.765625,1
623,1,1238.765625,1
624,1,1238.765625,1
625,1,1238.765625,1
626,1,1238.765625,1
627,1,1238.765625,1
628,0,1238.765625,1
629,1,1238.765625,1
630,1,1238.765625,1
631,1,1238.765625,1
632,2,1574.3828125,0
633,1,1574.3828125,1
634,1,1574.3828125,1
635,1,1574.3828125,1
636,1,1574.3828125,1
637,2,1252.0546875,0
638,1,1252.0546875,1
639,1,1252.0546875,1
640,1,1252.0546875,1
641,1,1252.0546875,1
642,1,1252.0546875,1
643,1,1252.0546875,1
644,0,1252.0546875,1
645,1,1252.0546875,1
646,0,1252.0546875,1
647,1,1252.0546875,1
648,2,2497.203125,0
649,1,2497.203125,1
650,0,2497.203125,1
651,1,2497.203125,1
652,1,2497.203125,1
653,2,2826.1171875,0
654,0,2826.1171875,0
655,2,2826.1171875,0
656,1,2826.1171875,1
657,1,2826.1171875,1
658,1,2826.1171875,1
659,2,2793.5078125,0
660,1,2793.5078125,1
661,0,2793.5078125,1
662,2,2778.6875,0
663,1,2778.6875,1
664,1,2778.6875,1
665,0,2778.6875,1
666,1,2778.6875,1
667,1,2778.6875,1
668,2,2252.0703125,0
669,2,2252.0703125,0
670,2,2252.0703125,0
671,1,2252.0703125,1
672,0,2252.0703125,1
673,1,2252.0703125,1
674,1,2252.0703125,1
675,1,2252.0703125,1
676,1,2252.0703125,1
677,2,2465.75,0
678,1,2465.75,1
679,2,2545.484375,0
680,1,2545.484375,1
681,1,2545.484375,1
682,2,3946.515625,0
683,2,3946.515625,0
684,1,3946.515625,1
685,2,3801.4296875,0
686,1,3801.4296875,1
687,1,3801.4296875,1
688,2,3623.46875,0
689,0,3623.46875,0
690,1,3623.46875,1
691,1,3623.46875,1
692,1,3623.46875,1
693,1,3623.46875,1
694,1,3623.46875,1
695,1,3623.46875,1
696,2,3541.2421875,0
697,0,3541.2421875,0
698,1,3541.2421875,1
699,1,3541.2421875,1
700,1,3541.2421875,1
701,0,3541.2421875,1
702,2,3292.46875,0
703,2,3292.46875,0
704,1,3292.46875,1
705,1,3292.46875,1
706,1,3292.46875,1
707,1,3292.46875,1
708,2,3667.1640625,0
709,0,3667.1640625,0
710,0,3667.1640625,0
711,2,3667.1640625,0
712,0,3667.1640625,0
713,1,3667.1640625,1
714,2,3864.296875,0
715,1,3864.296875,1
716,1,3864.296875,1
717,1,3864.296875,1
718,1,3864.296875,1
719,0,3864.296875,1
720,1,3864.296875,1
721,1,3864.296875,1
722,1,3864.296875,1
723,1,3864.296875,1
724,1,3864.296875,1
725,1,3864.296875,1
726,2,4241.6640625,0
727,1,4241.6640625,1
728,1,4241.6640625,1
729,1,4241.6640625,1
730,1,4241.6640625,1
731,1,4241.6640625,1
732,0,4241.6640625,1
733,2,2810.703125,0
734,0,2810.703125,0
735,1,2810.703125,1
736,1,2810.703125,1
737,1,2810.703125,1
738,1,2810.703125,1
739,1,2810.703125,1
740,1,2810.703125,1
741,1,2810.703125,1
742,2,4138.3984375,0
743,1,4138.3984375,1
744,1,4138.3984375,1
745,1,4138.3984375,1
746,1,4138.3984375,1
747,1,4138.3984375,1
748,1,4138.3984375,1
749,2,4210.9296875,0
750,2,4210.9296875,0
751,1,4210.9296875,1
752,1,4210.9296875,1
753,1,4210.9296875,1
754,1,4210.9296875,1
755,1,4210.9296875,1
756,2,3427.8359375,0
757,2,3427.8359375,0
758,1,3427.8359375,1
759,1,3427.8359375,1
760,0,3427.8359375,1
761,1,3427.8359375,1
762,1,3427.8359375,1
763,2,3191.9140625,0
764,1,3191.9140625,1
765,1,3191.9140625,1
766,1,3191.9140625,1
767,1,3191.9140625,1
768,1,3191.9140625,1
769,1,3191.9140625,1
770,1,3191.9140625,1
771,1,3191.9140625,1
772,0,3191.9140625,1
773,2,3966.578125,0
774,1,3966.578125,1
775,1,3966.578125,1
776,0,3966.578125,1
777,1,3966.578125,1
778,1,3966.578125,1
779,0,3966.578125,1
780,0,3966.578125,1
781,1,3966.578125,1
782,0,3966.578125,1
783,1,3966.578125,1
784,1,3966.578125,1
785,0,3966.578125,1
786,1,3966.578125,1
787,1,3966.578125,1
788,0,3966.578125,1
789,2,16.1796875,0
790,1,16.1796875,1
791,1,16.1796875,1
792,1,16.1796875,1
793,1,16.1796875,1
794,1,16.1796875,1
795,2,-450.5234375,0
796,1,-450.5234375,1
797,1,-450.5234375,1
798,1,-450.5234375,1
799,1,-450.5234375,1
800,1,-450.5234375,1
801,1,-450.5234375,1
802,1,-450.5234375,1
803,1,-450.5234375,1
804,1,-450.5234375,1
805,1,-450.5234375,1
806,1,-450.5234375,1
807,2,-40.453125,0
808,2,-40.453125,0
809,1,-40.453125,1
810,2,-678.15625,0
811,1,-678.15625,1
812,1,-678.15625,1
813,1,-678.15625,1
814,2,-4881.28125,0
815,1,-4881.28125,1
816,2,-5464.8203125,0
817,2,-5464.8203125,0
818,2,-5464.8203125,0
819,1,-5464.8203125,1
820,1,-5464.8203125,1
821,1,-5464.8203125,1
822,1,-5464.8203125,1
823,1,-5464.8203125,1
824,1,-5464.8203125,1
825,1,-5464.8203125,1
826,1,-5464.8203125,1
827,2,-4073.2421875,0
828,1,-4073.2421875,1
829,1,-4073.2421875,1
830,1,-4073.2421875,1
831,0,-4073.2421875,1
832,1,-4073.2421875,1
833,1,-4073.2421875,1
834,1,-4073.2421875,1
835,0,-4073.2421875,1
836,1,-4073.2421875,1
837,1,-4073.2421875,1
838,1,-4073.2421875,1
839,1,-4073.2421875,1
840,1,-4073.2421875,1
841,1,-4073.2421875,1
842,1,-4073.2421875,1
843,1,-4073.2421875,1
844,1,-4073.2421875,1
845,1,-4073.2421875,1
846,2,-2772.140625,0
847,2,-2772.140625,0
848,1,-2772.140625,1
849,2,-2855.0859375,0
850,1,-2855.0859375,1
851,2,-2972.59375,0
852,0,-2972.59375,0
853,1,-2972.59375,1
854,1,-2972.59375,1
855,2,-4838.0078125,0
856,1,-4838.0078125,1
857,0,-4838.0078125,1
858,2,-5406.47265625,0
859,1,-5406.47265625,1
860,0,-5406.47265625,1
861,1,-5406.47265625,1
862,1,-5406.47265625,1
863,1,-5406.47265625,1
864,0,-5406.47265625,1
865,1,-5406.47265625,1
866,1,-5406.47265625,1
867,2,-5203.890625,0
868,2,-5203.890625,0
869,1,-5203.890625,1
870,0,-5203.890625,1
871,0,-5203.890625,1
872,0,-5203.890625,1
873,2,-4362.7421875,0
874,1,-4362.7421875,1
875,1,-4362.7421875,1
876,0,-4362.7421875,1
877,2,-4599.65234375,0
878,1,-4599.65234375,1
879,1,-4599.65234375,1
880,1,-4599.65234375,1
881,2,-4779.375,0
882,1,-4779.375,1
883,1,-4779.375,1
884,2,-4381.92578125,0
885,1,-4381.92578125,1
886,1,-4381.92578125,1
887,1,-4381.92578125,1
888,1,-4381.92578125,1
889,2,-3396.03125,0
890,1,-3396.03125,1
891,2,-3570.3515625,0
892,1,-3570.3515625,1
893,1,-3570.3515625,1
894,1,-3570.3515625,1
895,1,-3570.3515625,1
896,1,-3570.3515625,1
897,2,-4066.4921875,0
898,1,-4066.4921875,1
899,2,-4512.05078125,0
900,1,-4512.05078125,1
901,0,-4512.05078125,1
902,0,-4512.05078125,1
903,1,-4512.05078125,1
904,0,-4512.05078125,1
905,1,-4512.05078125,1
906,1,-4512.05078125,1
907,2,-5731.25,0
908,2,-5731.25,0
909,1,-5731.25,1
910,1,-5731.25,1
911,1,-5731.25,1
912,0,-5731.25,1
913,1,-5731.25,1
914,1,-5731.25,1
915,1,-5731.25,1
916,2,-4633.25,0
917,1,-4633.25,1
918,1,-4633.25,1
919,1,-4633.25,1
920,2,-5035.09765625,0
921,0,-5035.09765625,0
922,1,-5035.09765625,1
923,2,-4745.09765625,0
924,2,-4745.09765625,0
925,1,-4745.09765625,1
926,0,-4745.09765625,1
927,2,-3221.8984375,0
928,1,-3221.8984375,1
929,1,-3221.8984375,1
930,1,-3221.8984375,1
931,0,-3221.8984375,1
932,2,-3224.15234375,0
933,2,-3224.15234375,0
934,2,-3224.15234375,0
935,1,-3224.15234375,1
936,1,-3224.15234375,1
937,1,-3224.15234375,1
938,2,-5729.8203125,0
939,2,-5729.8203125,0
940,1,-5729.8203125,1
941,1,-5729.8203125,1
942,1,-5729.8203125,1
943,0,-5729.8203125,1
944,1,-5729.8203125,1
945,2,-2944.4140625,0
946,2,-2944.4140625,0
947,1,-2944.4140625,1
948,2,-2760.078125,0
949,1,-2760.078125,1
950,2,-2772.76953125,0
951,1,-2772.76953125,1
952,1,-2772.76953125,1
953,2,-3265.98046875,0
954,0,-3265.98046875,0
955,1,-3265.98046875,1
956,1,-3265.98046875,1
957,1,-3265.98046875,1
958,1,-3265.98046875,1
959,1,-3265.98046875,1
960,2,-3680.25390625,0
961,1,-3680.25390625,1
962,2,-3511.04296875,0
963,1,-3511.04296875,1
964,1,-3511.04296875,1
965,2,-3173.2421875,0
966,1,-3173.2421875,1
967,1,-3173.2421875,1
968,2,-3382.14453125,0
969,1,-3382.14453125,1
970,1,-3382.14453125,1
971,0,-3382.14453125,1
972,1,-3382.14453125,1
973,2,-3259.64453125,0
974,1,-3259.64453125,1
975,1,-3259.64453125,1
976,2,-2355.23828125,0
977,1,-2355.23828125,1
978,2,-1925.4453125,0
979,1,-1925.4453125,1
980,2,-2038.71484375,0
981,1,-2038.71484375,1
982,1,-2038.71484375,1
983,2,-2098.99609375,0
984,1,-2098.99609375,1
985,1,-2098.99609375,1
986,0,-2098.99609375,1
987,1,-2098.99609375,1
988,1,-2098.99609375,1
989,1,-2098.99609375,1
990,2,-2033.3671875,0
991,1,-2033.3671875,1
992,1,-2033.3671875,1
993,1,-2033.3671875,1
994,1,-2033.3671875,1
995,1,-2033.3671875,1
996,0,-2033.3671875,1
997,2,-2077.92578125,0
998,1,-2077.92578125,1
999,1,-2077.92578125,1
1000,2,-1898.87109375,0
1001,1,-1898.87109375,1
1002,1,-1898.87109375,1
1003,0,-1898.87109375,1
1004,2,-1856.3515625,0
1005,1,-1856.3515625,1
1006,1,-1856.3515625,1
1007,1,-1856.3515625,1
1008,1,-1856.3515625,1
1009,0,-1856.3515625,1
1010,1,-1856.3515625,1
1011,1,-1856.3515625,1
1012,1,-1856.3515625,1
1013,2,-768.8046875,0
1014,1,-768.8046875,1
1015,1,-768.8046875,1
1016,2,-1142.5234375,0
1017,0,-1142.5234375,0
1018,0,-1142.5234375,0
1019,1,-1142.5234375,1
1020,1,-1142.5234375,1
1021,1,-1142.5234375,1
1022,1,-1142.5234375,1
1023,2,-1150.8203125,0
1024,1,-1150.8203125,1
1025,0,-1150.8203125,1
1026,2,-559.734375,0
1027,2,-559.734375,0
1028,1,-559.734375,1
1029,0,-559.734375,1
1030,1,-559.734375,1
1031,2,-18.34375,0
1032,1,-18.34375,1
1033,1,-18.34375,1
1034,1,-18.34375,1
1035,2,-213.6484375,0
1036,2,-213.6484375,0
1037,1,-213.6484375,1
1038,2,52.3203125,0
1039,1,52.3203125,1
1040,1,52.3203125,1
1041,1,52.3203125,1
1042,2,-241.59375,0
1043,1,-241.59375,1
1044,0,-241.59375,1
1045,1,-241.59375,1
1046,0,-241.59375,1
1047,1,-241.59375,1
1048,1,-241.59375,1
1049,2,251.6328125,0
1050,1,251.6328125,1
1051,0,251.6328125,1
1052,0,251.6328125,1
1053,1,251.6328125,1
1054,2,-156.7265625,0
1055,1,-156.7265625,1
1056,1,-156.7265625,1
1057,1,-156.7265625,1
1058,0,-156.7265625,1
1059,1,-156.7265625,1
1060,0,-156.7265625,1
1061,0,-156.7265625,1
1062,0,-156.7265625,1
1063,2,269.4453125,0
1064,1,269.4453125,1
1065,2,145.21875,0
1066,1,145.21875,1
1067,0,145.21875,1
1068,2,362.8984375,0
1069,1,362.8984375,1
1070,1,362.8984375,1
1071,1,362.8984375,1
1072,0,362.8984375,1
1073,1,362.8984375,1
1074,1,362.8984375,1
1075,1,362.8984375,1
1076,1,362.8984375,1
1077,2,-1960.66015625,0
1078,1,-1960.66015625,1
1079,0,-1960.66015625,1
1080,1,-1960.66015625,1
1081,1,-1960.66015625,1
1082,2,-2189.0859375,0
1083,1,-2189.0859375,1
1084,0,-2189.0859375,1
1085,1,-2189.0859375,1
1086,1,-2189.0859375,1
1087,2,-2161.12109375,0
1088,0,-2161.12109375,0
1089,1,-2161.12109375,1
1090,0,-2161.12109375,1
1091,1,-2161.12109375,1
1092,1,-2161.12109375,1
1093,1,-2161.12109375,1
1094,1,-2161.12109375,1
1095,0,-2161.12109375,1
1096,1,-2161.12109375,1
1097,1,-2161.12109375,1
1098,2,-1367.50390625,0
1099,1,-1367.50390625,1
1100,1,-1367.50390625,1
1101,1,-1367.50390625,1
1102,1,-1367.50390625,1
1103,2,-1394.4765625,0
1104,0,-1394.4765625,0
1105,1,-1394.4765625,1
1106,1,-1394.4765625,1
1107,1,-1394.4765625,1
